----- Warming up -----
Iteration 1
  QuicksortVariant3(pivot: MIDDLE)                                                   -> time =    306.534 ms
  QuicksortImproved(threshold: 4, partitioning: QuicksortVariant2(pivot: MEDIAN3))   -> time =    320.469 ms
  QuicksortImproved(threshold: 24, partitioning: QuicksortVariant1(pivot: MEDIAN3))  -> time =    281.500 ms
  QuicksortImproved(threshold: 24, partitioning: QuicksortVariant3(pivot: MEDIAN3))  -> time =    284.424 ms
  QuicksortImproved(threshold: 64, partitioning: QuicksortVariant3(pivot: MEDIAN3))  -> time =    269.982 ms
  QuicksortVariant2(pivot: MEDIAN3)                                                  -> time =    327.617 ms
  QuicksortImproved(threshold: 64, partitioning: QuicksortVariant2(pivot: MEDIAN3))  -> time =    271.125 ms
  QuicksortImproved(threshold: 128, partitioning: QuicksortVariant2(pivot: MIDDLE))  -> time =    259.131 ms
  QuicksortImproved(threshold: 128, partitioning: QuicksortVariant1(pivot: MEDIAN3)) -> time =    262.434 ms
  QuicksortImproved(threshold: 16, partitioning: QuicksortVariant3(pivot: MIDDLE))   -> time =    279.181 ms
  QuicksortImproved(threshold: 16, partitioning: QuicksortVariant2(pivot: MEDIAN3))  -> time =    294.835 ms
  QuicksortImproved(threshold: 4, partitioning: QuicksortVariant3(pivot: MIDDLE))    -> time =    300.804 ms
  QuicksortImproved(threshold: 32, partitioning: QuicksortVariant2(pivot: MIDDLE))   -> time =    274.651 ms
  QuicksortImproved(threshold: 8, partitioning: QuicksortVariant3(pivot: MEDIAN3))   -> time =    310.018 ms
  QuicksortImproved(threshold: 96, partitioning: QuicksortVariant2(pivot: MIDDLE))   -> time =    269.579 ms
Iteration 2
  QuicksortImproved(threshold: 2, partitioning: QuicksortVariant1(pivot: MEDIAN3))   -> time =    323.288 ms
  QuicksortVariant2(pivot: MEDIAN3)                                                  -> time =    323.723 ms
  QuicksortImproved(threshold: 64, partitioning: QuicksortVariant1(pivot: MEDIAN3))  -> time =    271.331 ms
  QuicksortImproved(threshold: 2, partitioning: QuicksortVariant3(pivot: MIDDLE))    -> time =    313.723 ms
  QuicksortImproved(threshold: 64, partitioning: QuicksortVariant2(pivot: MEDIAN3))  -> time =    266.287 ms
  QuicksortImproved(threshold: 192, partitioning: QuicksortVariant2(pivot: MEDIAN3)) -> time =    264.507 ms
  QuicksortImproved(threshold: 8, partitioning: QuicksortVariant2(pivot: MIDDLE))    -> time =    301.116 ms
  QuicksortImproved(threshold: 2, partitioning: QuicksortVariant3(pivot: MEDIAN3))   -> time =    331.713 ms
  QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MEDIAN3))  -> time =    265.825 ms
  QuicksortImproved(threshold: 8, partitioning: QuicksortVariant3(pivot: MEDIAN3))   -> time =    310.160 ms
  QuicksortImproved(threshold: 16, partitioning: QuicksortVariant1(pivot: MIDDLE))   -> time =    292.045 ms
  QuicksortImproved(threshold: 8, partitioning: QuicksortVariant1(pivot: MIDDLE))    -> time =    293.028 ms
  QuicksortImproved(threshold: 16, partitioning: QuicksortVariant3(pivot: MIDDLE))   -> time =    282.320 ms
  QuicksortImproved(threshold: 96, partitioning: QuicksortVariant2(pivot: MEDIAN3))  -> time =    263.417 ms
  QuicksortVariant3(pivot: MIDDLE)                                                   -> time =    308.656 ms
